number;identifier;channel;push_notifications;integrated_ai;ai_chat_bot;use_government_data;use_low_cost_sensors;interpretation_capabilities;integration_of_maps;downloadable_data;upload_of_additional_data;open_access
1;85200496043;Hardware & IoT;False;False;False;False;True;True;True;True;True;True
2;85206134259;Scientific Study & Methodology;False;False;False;False;True;True;True;False;True;False
3;85178094584;Web Platform;False;True;False;False;True;True;True;True;True;False
4;85173286812;Scientific Study & Methodology;False;False;False;True;False;True;True;False;False;False
5;85166193000;Mobile App;False;False;False;False;True;True;True;True;True;True
6;85153102750;Scientific Study & Methodology;False;True;False;False;False;True;False;False;True;False
7;85128304603;Framework;False;False;False;True;True;True;True;False;False;False
8;85133906650;Web Platform;False;False;False;False;False;True;True;True;False;False
9;85136467402;Framework;False;False;False;False;True;True;True;True;True;True
10;85128553843;Hardware & IoT;False;False;False;False;True;True;True;True;True;False
11;85135906329;Scientific Study & Methodology;False;False;False;False;False;True;False;False;True;False
12;85119369944;Software Library;False;False;False;False;True;True;True;True;True;True
13;85117423363;Scientific Study & Methodology;False;False;False;False;True;True;False;False;False;False
14;85109217612;Web Platform;False;False;False;True;True;True;True;True;False;False
15;85114034832;Web Platform;False;False;False;True;True;False;True;True;False;True
16;85106569091;Hardware & IoT;False;False;False;False;True;True;True;True;True;False
17;105004872400;Scientific Study & Methodology;False;False;False;True;True;True;True;False;False;False
18;105014740872;Scientific Study & Methodology;False;True;False;True;True;True;True;False;False;False
19;105008586332;Scientific Study & Methodology;False;False;False;False;True;False;True;True;True;False
20;105004039711;Scientific Study & Methodology;False;False;False;True;True;True;True;False;False;False
21;85114806307;Tutorial;False;False;False;False;True;True;False;False;False;False
22;105005418966;Scientific Study & Methodology;False;True;False;False;True;True;True;False;True;False
23;85214380457;Mobile App;True;False;False;True;True;True;True;False;True;False
24;105001139275;Framework;False;True;False;True;True;True;False;True;True;False
25;85089092141;Web Platform;False;False;False;False;True;True;True;True;True;False
26;85119916807;Software Library;False;False;False;True;True;True;True;True;True;True
