identifier;title;coverDate;citedCount;subtypeDescription;openaccessFlag;authors;origin;used;number
85200496043;Scalable, Low-Cost, and Versatile System Design for Air Pollution and Traffic Density Monitoring and Analysis;2024-01-01;0.0;Book Chapter;True;Thinh Gia Tran, Dat T. Vo, Long C. Tran, Hoang V. Pham, Chuong D. Le, An D. Le, Duy A. Pham, Hien B. Vo;scopus;1.0;1
85206134259;The sphere of exposure: centering user experience in community science air monitoring;2024-01-01;1.0;Article;True;Marisa Westbrook, Valentina Serrano-Salomón, Jay Pecenka, Sumit Sankhyan, Aniya K. Hollo, Shelly L. Miller, Esther Sullivan;scopus;1.0;2
85178094584;Machine learning to support citizen science in urban environmental management;2023-12-01;2.0;Article;True;Emily J. Yang, Julian Fulton, Swabinash Swarnaraja, Cecile Carson;scopus;1.0;3
85173286812;A cross-sectional study of inequalities in digital air pollution information access and exposure reducing behavior uptake in the UK;2023-11-01;5.0;Article;True;Kayla Schulte, Ben Hudson;scopus;1.0;4
85166193000;Design and Implementation of a Crowdsensing-Based Air Quality Monitoring Open and FAIR Data Infrastructure;2023-07-01;6.0;Article;True;Paolo Diviacco, Massimiliano Iurcev, Rodrigo José Carbajales, Alberto Viola, Nikolas Potleca;scopus;1.0;5
85153102750;Western Balkan societies' awareness of air pollution. Estimations using natural language processing techniques;2023-07-01;7.0;Article;False;Angela Madjar, Ivana Gjorshoska, Jana Prodanova, Aleksandra Dedinec, Ljupco Kocarev;scopus;1.0;6
85128304603;Translating citizen-generated air quality data into evidence for shaping policy;2022-12-01;45.0;Review;True;Sachit Mahajan, Ming Kuang Chung, Jenny Martinez, Yris Olaya, Dirk Helbing, Ling Jyh Chen;scopus;1.0;7
85133906650;A process for creating data report-back tools to improve equity in environmental health;2022-12-01;7.0;Article;True;Kathryn S. Tomsho, Erin Polka, Stacey Chacker, David Queeley, Marty Alvarez, Madeleine K. Scammell, Karen M. Emmons, Rima E. Rudd, Gary Adamkiewicz;scopus;1.0;8
85136467402;Design and development of an open-source framework for citizen-centric environmental monitoring and data analysis;2022-12-01;29.0;Article;True;Sachit Mahajan;scopus;1.0;9
85128553843;How IoT-Driven Citizen Science Coupled with Data Satisficing Can Promote Deep Citizen Science;2022-05-01;2.0;Article;True;Stefan Poslad, Tayyaba Irum, Patricia Charlton, Rafia Mumtaz, Muhammad Azam, Hassan Zaidi, Christothea Herodotou, Guangxia Yu, Fesal Toosy;scopus;1.0;10
85135906329;Participatory Action for Citizens’ Engagement to Develop a Pro-environmental Research Application;2022-01-01;1.0;Conference Paper;True;Anna Jaskulska, Kinga Skorupska, Zuzanna Bubrowska, Kinga Kwiatkowska, Wiktor Stawski, Maciej Krzywicki, Monika Kornacka, Wiesław Kopeć;scopus;1.0;11
85119369944;Vayu: An open-source toolbox for visualization and analysis of crowd-sourced sensor data;2021-11-01;4.0;Article;True;Sachit Mahajan;scopus;1.0;12
85117423363;Citizens or consumers? Air quality sensor users and their involvement in sensor.community. results from qualitative case study;2021-10-01;10.0;Article;True;Michał Wróblewski, Joanna Suchomska, Katarzyna Tamborska;scopus;1.0;13
85109217612;Air quality mapping and visualisation: An affordable solution based on a vehicle-mounted sensor network;2021-09-15;26.0;Article;True;Pedro Santana, Alexandre Almeida, Pedro Mariano, Carolina Correia, Vânia Martins, Susana Marta Almeida;scopus;1.0;14
85114034832;A sustainable method for publishing interoperable open data on the web;2021-08-01;4.0;Article;True;Raf Buyle, Brecht Van de Vyvere, Julián Rojas Meléndez, Dwight Van Lancker, Eveline Vlassenroot, Mathias Van Compernolle, Stefan Lefever, Pieter Colpaert, Peter Mechant, Erik Mannens;scopus;1.0;15
