identifier;title;coverDate;citedCount;subtypeDescription;openaccessFlag;authors;origin;used;number
105001645826;Model-Driven Development of Web Augmenters for Facilitating Environmental Open Data Consumption;2025-01-01;0.0;Article;True;Paula Gonzalez-Martinez, Cesar Gonzalez-Mora, Irene Garrigos, Jose Norberto Mazon, Jose M. Cecilia;ieee;1.0;53
105018475633;Health-Aware Path Planning Using Environmental Data and Sequential Prediction Models for Asthma Management;2025-01-01;0.0;Conference Paper;False;Nada Ayman, Shaimaa Alaa, Ali Hamdi;ieee;1.0;54
85099743101;Streamlining Smart Cities to Create Safer Spaces;2020-10-28;4.0;Conference Paper;False;Randy Krauss, Matthew Vaysfeld, Murad Arslaner, Gregg Vesonder;ieee;1.0;55
105018008852;Evolving trends in application of low-cost air quality sensor networks: challenges and future directions;2025-12-01;0.0;Review;True;Evangelos Bagkis, Amirhossein Hassani, Philipp Schneider, Priyanka DeSouza, Shobitha Shetty, Theodosios Kassandros, Vasileios Salamalikis, Núria Castell, Kostas Karatzas, Ajit Ahlawat, Jibran Khan;scopus;1.0;56
105017121596;Sensortoolkit—A Python Library for Standardizing the Ingestion, Analysis, and Reporting of Air Sensor Data for Performance Evaluation;2025-09-01;0.0;Article;True;Menaka Kumar, Samuel G. Frederick, Karoline K. Barkjohn, Andrea L. Clements;scopus;1.0;57
105002303070;Assessing the impact of traffic restriction interventions on school air quality: a citizen science-based modelling study;2025-07-15;1.0;Article;True;Luca Boniardi, Federica Nobile, Massimo Stafoggia, Paola Michelozzi, Carla Ancona;scopus;1.0;58
105012163410;From Data to Discussion: Interfaces for Collective Inquiry and Open-Ended Data Creation;2025-07-05;0.0;Conference Paper;True;David Hunter;scopus;1.0;59
105009015886;A Wearable Sensor Node for Measuring Air Quality Through Citizen Science Approach: Insights from the SOCIO-BEE Project;2025-06-01;0.0;Article;True;Nicole Morresi, Maite Puerta-Beldarrain, Diego López-de-Ipiña, Alex Barco, Oihane Gómez-Carmona, Carlos López-Gomollon, Diego Casado-Mansilla, Maria Kotzagianni, Sara Casaccia, Sergi Udina, Gian Marco Revel;scopus;1.0;60
105008907848;Immersive, Secure, and Collaborative Air Quality Monitoring;2025-06-01;0.0;Review;True;José Marinho, Nuno Cid Martins;scopus;1.0;61
105001275004;Detecting air pollution episodes and exploring their impacts using low-cost sensor data and simultaneous community symptom and odor reports;2025-04-01;2.0;Article;True;Caroline Frischmon, Jennifer Crosslin, Leah Burks, Barbara Weckesser, Michael Hannigan, Katharine Duderstadt;scopus;1.0;62
105007806566;Enhancing Public Awareness of Air Quality: Evaluating Communication Strategies and Design Prototypes Using a Design-Based Implementation Research Approach;2025-01-01;0.0;Conference Paper;False;Victoria Batz, Vanessa B. Liedtke, Petre Lameski, Vladimir Trajkovik, Steffi Hußlein, Christian Hansen, Michael A. Herzog;scopus;1.0;63
105003973618;Empowering Communities In Transformative Transport Decision-making: A Participatory Spatial Approach to Select Vulnerable Facilities for Citizen Sensing;2025-01-01;1.0;Article;True;Nadia Giuffrida, Michela Le Pira;scopus;1.0;64
85196863937;Validation of cheap axial passive sampler and procedure suitable for atmospheric NO2 community-based monitoring;2024-09-01;0.0;Article;True;Alma Moretta, Daniele Sofia, Maria Ricciardi, Vincenzo Venditto, Antonio Proto;scopus;1.0;65
85199590093;Exploring the Spatial Variability of Air Pollution Using Mobile BC Measurements in a Citizen Science Project: A Case Study in Mechelen;2024-07-01;2.0;Article;True;Martine Van Poppel, Jan Peters, Stijn Vranckx, Jo Van Laer, Jelle Hofman, Bram Vandeninden, Charlotte Vanpoucke, Wouter Lefebvre;scopus;1.0;66
85194859559;Evaluating ActuAir: Building Occupants' Experiences of a Shape-Changing Air Quality Display;2024-05-11;2.0;Conference Paper;True;Eleni Margariti, Vasilis Vlachokyriakos, Abigail C. Durrant, David Kirk;scopus;1.0;67
85214919883;Addressing Environmental Quality Inequities: The Role of Information and Collective Action;2024-01-01;1.0;Book Chapter;False;Sandra Aguilar-Gomez;scopus;1.0;68
