number;identifier;channel;push_notifications;integrated_ai;ai_chat_bot;use_government_data;use_low_cost_sensors;interpretation_capabilities;integration_of_maps;downloadable_data;upload_of_additional_data
79;85094132318;None;False;False;False;False;False;False;False;False;False
80;105013463140;None;False;False;False;False;False;False;False;False;False
81;85112266275;None;False;False;False;False;False;False;False;False;False
82;85138138896;None;False;False;False;False;False;False;False;False;False
83;85094824495;None;False;False;False;False;False;False;False;False;False
84;85087924481;None;False;False;False;False;False;False;False;False;False
85;85174387529;None;False;False;False;False;False;False;False;False;False
86;85215251198;None;False;False;False;False;False;False;False;False;False
87;85174241238;None;False;False;False;False;False;False;False;False;False
88;85186524383;None;False;False;False;False;False;False;False;False;False
89;85207044719;None;False;False;False;False;False;False;False;False;False
90;85122994727;None;False;False;False;False;False;False;False;False;False
91;85172012036;None;False;False;False;False;False;False;False;False;False
92;85145349941;None;False;False;False;False;False;False;False;False;False
93;85218027929;None;False;False;False;False;False;False;False;False;False
94;85139392942;None;False;False;False;False;False;False;False;False;False
95;85122348896;None;False;False;False;False;False;False;False;False;False
96;86000445492;None;False;False;False;False;False;False;False;False;False
97;85090578172;None;False;False;False;False;False;False;False;False;False
98;85202895097;None;False;False;False;False;False;False;False;False;False
99;105021079912;None;False;False;False;False;False;False;False;False;False
100;85097873262;None;False;False;False;False;False;False;False;False;False
101;85143913348;None;False;False;False;False;False;False;False;False;False
102;85212417350;None;False;False;False;False;False;False;False;False;False
103;85109881954;None;False;False;False;False;False;False;False;False;False
