identifier;title;coverDate;citedCount;subtypeDescription;openaccessFlag;authors;origin;used
105020568148;Multi-dimensional Engagement for Richer Hyperlocal Citizen Science Data;2025-10-01;0.0;Conference Paper;True;Abhishek Viswanathan, Vasco Xu, Amy Babay, Rosta Farzan, Aaron Birdy;acm;True
85128418579;Instagram of Rivers: Facilitating Distributed Collaboration in Hyperlocal Citizen Science;2022-04-07;7.0;Article;False;Srishti Gupta, Julia Jablonski, Chun Hua Tsai, John M. Carroll;acm;False
85097231160;Smell Pittsburgh: Engaging Community Citizen Science for AirQuality;2020-01-01;26.0;Article;False;Yen Chia Hsu, Jennifer Cross, Paul Dille, Michael Tasota, Beatrice Dias, Randy Sargent, Ting Hao (Kenneth) Huang, Illah Nourbakhsh;acm;True
85161470565;Revealing the role of values in developing a garden data ecosystem through a reflective participatory design approach;2023-05-29;0.0;Conference Paper;True;Silvia Cazacu, Ingrid Mulder, Andrew Vande Moere, Thérèse Steenberghen;acm;False
105009231192;Use of Air Quality Sensor Network Data for Real-time Pollution-Aware POI Suggestion;2025-05-23;1.0;Conference Paper;True;Giuseppe Fasano, Yashar Deldjoo, Tommaso di Noia, Bianca Lau, Sina Adham-Khiabani, Eric Morris, Xia Liu, Ganga Chinna Rao Devarapu, Liam O'Faolain;acm;True
85133632204;The Air Quality Lens: Ambiguity as Opportunity to Reactivate Environmental Data;2022-06-13;7.0;Conference Paper;False;Teis De Greve, Steven Malliet, Niels Hendriks, Bieke Zaman;acm;True
85174248748;What Does Air Quality Sound Like? On Exploring the impact of Data Sonification Versus Data Visualization;2023-09-06;0.0;Conference Paper;True;Chiara Ceccarini, Gianni Tumedei, Catia Prandi;acm;True
85127124711;AQ-SCIENCE: Air Quality - Smart Cities with IoT-ENabled Citizen Engagement Approach;2022-03-08;5.0;Conference Paper;False;Rameez Raja Kureshi, Dhavalkumar Thakker, Bhupesh Kumar Mishra, Reena John;acm;True
85211376808;GraPhy: Graph-Based Physics-Guided Urban Air Quality Modeling for Monitoring-Constrained Regions;2024-10-29;0.0;Conference Paper;True;Shangjie Du, Zhi Zhang Hu, Shijia Pan;acm;False
85198642894;A STEM Approach to Teach High School Students IoT and AI Concepts: An Air Quality Example;2024-07-08;4.0;Conference Paper;False;Wei Ling Lee, Chiu Fan Hu, Cheng Chih Wu;acm;True
85146367510;SenseMyStreet: Sensor Commissioning Toolkit for Communities;2022-11-11;9.0;Article;True;Aare Puussaar, Kyle Montague, Sean Peacock, Thomas Nappey, Robert Anderson, Jennine Jonczyk, Peter Wright, Philip James;acm;False
85146308992;From Environmental Monitoring to Mitigation Action: Considerations, Challenges, and Opportunities for HCI;2022-11-11;8.0;Article;False;Graham Dove, Shiyu Chen, Daniel Fries, Vanessa Johnson, Charlie Mydlarz, Juan Pablo Bello, Oded Nov;acm;False
85137594900;Opportunities and risks for engaging research participants with self-logged menstrual health data;2022-08-17;2.0;Conference Paper;True;Samantha Robertson, Kim G. Harley, Niloufar Salehi;acm;False
85102063335;Towards Atmospheric Interfaces;2021-02-14;6.0;Conference Paper;False;Jessica Broscheit, Qi Wang, Susanne Draheim, Kai Von Luck;acm;True
