identifier;title;coverDate;citedCount;subtypeDescription;openaccessFlag;authors;origin;used
105020568148;Multi-dimensional Engagement for Richer Hyperlocal Citizen Science Data;2025-10-01;0.0;Conference Paper;True;Abhishek Viswanathan, Vasco Xu, Amy Babay, Rosta Farzan, Aaron Birdy;acm;True
85097231160;Smell Pittsburgh: Engaging Community Citizen Science for AirQuality;2020-01-01;26.0;Article;False;Yen Chia Hsu, Jennifer Cross, Paul Dille, Michael Tasota, Beatrice Dias, Randy Sargent, Ting Hao (Kenneth) Huang, Illah Nourbakhsh;acm;True
105009231192;Use of Air Quality Sensor Network Data for Real-time Pollution-Aware POI Suggestion;2025-05-23;1.0;Conference Paper;True;Giuseppe Fasano, Yashar Deldjoo, Tommaso di Noia, Bianca Lau, Sina Adham-Khiabani, Eric Morris, Xia Liu, Ganga Chinna Rao Devarapu, Liam O'Faolain;acm;True
85133632204;The Air Quality Lens: Ambiguity as Opportunity to Reactivate Environmental Data;2022-06-13;7.0;Conference Paper;False;Teis De Greve, Steven Malliet, Niels Hendriks, Bieke Zaman;acm;True
85174248748;What Does Air Quality Sound Like? On Exploring the impact of Data Sonification Versus Data Visualization;2023-09-06;0.0;Conference Paper;True;Chiara Ceccarini, Gianni Tumedei, Catia Prandi;acm;True
85127124711;AQ-SCIENCE: Air Quality - Smart Cities with IoT-ENabled Citizen Engagement Approach;2022-03-08;5.0;Conference Paper;False;Rameez Raja Kureshi, Dhavalkumar Thakker, Bhupesh Kumar Mishra, Reena John;acm;True
85198642894;A STEM Approach to Teach High School Students IoT and AI Concepts: An Air Quality Example;2024-07-08;4.0;Conference Paper;False;Wei Ling Lee, Chiu Fan Hu, Cheng Chih Wu;acm;True
85102063335;Towards Atmospheric Interfaces;2021-02-14;6.0;Conference Paper;False;Jessica Broscheit, Qi Wang, Susanne Draheim, Kai Von Luck;acm;True
105013473958;AmIAire: A Citizen Science and Action Research Initiative for Air Quality Monitoring and Behavioral Change;2025-01-01;0.0;Conference Paper;False;Ibai Gomez Vazquez, Syed Mohsin Ali Shah, Diego Casado-Mansilla, Diego Lopez-De-Ipina;ieee;True
85215112724;Implementation of an Open Hardware and Web Platform for Citizen Science Air Quality Monitoring;2024-01-01;1.0;Conference Paper;False;Ryan Jonathan Blanco, Joize Barbie E.Dela Cruz, Ira Nicole J. Santos, Jaybie De Guzman, Marc D. Rosales, Paul Jason Co, John Jairus Eslit, Percival Magpantay, John Richard E. Hizon;ieee;True
85168117828;The BeeMate: Air quality monitoring through crowdsourced audiovisual data;2023-01-01;3.0;Conference Paper;False;Nikolaos Vryzas, Marina Eirini Stamatiadou, Lazaros Vrysis, Charalampos Dimoulas;ieee;True
85203668000;Citizens Sensing Emissions - First Results of a Citizen Science Project;2024-01-01;0.0;Conference Paper;False;Max Czymai, Kim Eschenbach, Robin Hoske, Melanie Jaeger-Erben, Manfred Kraft, Max Marwede;ieee;True
85178325420;SOCIO-BEE: A Next-Generation Citizen Science Platform for Citizens' Engagement to Air Pollution Measuring;2023-01-01;3.0;Conference Paper;False;Dimitrios Karanassos, Charalampos Kyfonidis, Georgios Angelis, Alexandros Emvoliadis, Traianos Ioannis Theodorou, Alexandros Zamichos, Anastasios Drosou, Dimitrios Tzovaras;ieee;True
85216087596;CEDAR: An Augmented Reality Mobile Application Using a Participatory Design Framework for Citizen Science Data Sensing;2024-01-01;0.0;Conference Paper;False;Mengci Liu, Peter Hall, Stella Doukianou, Anna Troisi;ieee;True
105016462142;Boosting behavioral change and citizens engagement in cities through technology: The DivAirCity project approach;2025-01-01;0.0;Conference Paper;False;Achilleas I. Sfetkos, Ioanna D. Pasiopoulou, Grigoris K. Papagiannis;ieee;True
85205993088;Citizens4Climate - A dashboard to support citizen science activities for climate action;2024-01-01;2.0;Conference Paper;False;Sasa Vranic, Antonella Galizia, Antonio Parodi, Ulrike Falk, Paolo Mazzetti, Milan Kalas, Joy Ommer;ieee;True
85094132318;MegaSense: Cyber-Physical System for Real-time Urban Air Quality Monitoring;2020-11-09;27.0;Conference Paper;False;Andrew Rebeiro-Hargrave, Naser Hossein Motlagh, Samu Varjonen, Eemil Lagerspetz, Petteri Nurmi, Sasu Tarkoma;ieee;True
105013463140;Validating a Citizen Observatories enabling Platform by completing a Citizen Science Loop;2025-01-01;0.0;Conference Paper;False;Diego Lopez-De-Ipina, Dawid Wolosiuk, Felipe Eduardo Vergara, Mikel Emaldi, Ruben Sanchez-Corcuera, Alex Barco, Milena Vuckovic, Diego Casado-Mansilla, Jan Peters-Anders;ieee;True
85112266275;Crowd-sourcing: Citizens as scientists for air pollution monitoring;2021-06-16;0.0;Conference Paper;False;Beti Angelevska, Igor Andreevski, Vaska Atanasova;ieee;True
