identifier;title;cover_date;cited_count;subtype_description;open_access_flag;authors;origin;used
105020568148;Multi-dimensional Engagement for Richer Hyperlocal Citizen Science Data;2025-10-01;0.0;Conference Paper;True;Abhishek Viswanathan, Vasco Xu, Amy Babay, Rosta Farzan, Aaron Birdy;acm;1.0
85128418579;Instagram of Rivers: Facilitating Distributed Collaboration in Hyperlocal Citizen Science;2022-04-07;7.0;Article;False;Srishti Gupta, Julia Jablonski, Chun Hua Tsai, John M. Carroll;acm;0.0
85097231160;Smell Pittsburgh: Engaging Community Citizen Science for AirQuality;2020-01-01;27.0;Article;False;Yen Chia Hsu, Jennifer Cross, Paul Dille, Michael Tasota, Beatrice Dias, Randy Sargent, Ting Hao (Kenneth) Huang, Illah Nourbakhsh;acm;1.0
85161470565;Revealing the role of values in developing a garden data ecosystem through a reflective participatory design approach;2023-05-29;0.0;Conference Paper;True;Silvia Cazacu, Ingrid Mulder, Andrew Vande Moere, Thérèse Steenberghen;acm;0.0
105009231192;Use of Air Quality Sensor Network Data for Real-time Pollution-Aware POI Suggestion;2025-05-23;1.0;Conference Paper;True;Giuseppe Fasano, Yashar Deldjoo, Tommaso di Noia, Bianca Lau, Sina Adham-Khiabani, Eric Morris, Xia Liu, Ganga Chinna Rao Devarapu, Liam O'Faolain;acm;1.0
105013473958;AmIAire: A Citizen Science and Action Research Initiative for Air Quality Monitoring and Behavioral Change;2025-01-01;0.0;Conference Paper;False;Ibai Gomez Vazquez, Syed Mohsin Ali Shah, Diego Casado-Mansilla, Diego Lopez-De-Ipina;ieee;1.0
85215112724;Implementation of an Open Hardware and Web Platform for Citizen Science Air Quality Monitoring;2024-01-01;1.0;Conference Paper;False;Ryan Jonathan Blanco, Joize Barbie E.Dela Cruz, Ira Nicole J. Santos, Jaybie De Guzman, Marc D. Rosales, Paul Jason Co, John Jairus Eslit, Percival Magpantay, John Richard E. Hizon;ieee;1.0
85168117828;The BeeMate: Air quality monitoring through crowdsourced audiovisual data;2023-01-01;3.0;Conference Paper;False;Nikolaos Vryzas, Marina Eirini Stamatiadou, Lazaros Vrysis, Charalampos Dimoulas;ieee;1.0
85203668000;Citizens Sensing Emissions - First Results of a Citizen Science Project;2024-01-01;0.0;Conference Paper;False;Max Czymai, Kim Eschenbach, Robin Hoske, Melanie Jaeger-Erben, Manfred Kraft, Max Marwede;ieee;1.0
85178325420;SOCIO-BEE: A Next-Generation Citizen Science Platform for Citizens' Engagement to Air Pollution Measuring;2023-01-01;3.0;Conference Paper;False;Dimitrios Karanassos, Charalampos Kyfonidis, Georgios Angelis, Alexandros Emvoliadis, Traianos Ioannis Theodorou, Alexandros Zamichos, Anastasios Drosou, Dimitrios Tzovaras;ieee;1.0
105004872400;A paradigm shift: Low-cost sensors for effective air quality monitoring and management in developing countries;2025-06-01;6.0;Article;True;Muneeba Shabbir, Talha Saeed, Ahmad Saleem, Parkash Bhave, Mike Bergin, Muhammad Fahim Khokhar;science_direct;
105001298760;Validity, reliability and acceptability of wearable sensor devices to monitor personal exposure to air pollution and pollen: A systematic review of mobility based exposure studies;2025-06-01;1.0;Review;True;Wako Golicha Wako, Tom Clemens, Scott Ogletree, Andrew James Williams, Ruth Jepson;science_direct;
85149863065;Leveraging machine learning algorithms to advance low-cost air sensor calibration in stationary and mobile settings;2023-05-15;47.0;Article;False;An Wang, Yuki Machida, Priyanka deSouza, Simone Mora, Tiffany Duhl, Neelakshi Hudda, John L. Durant, Fábio Duarte, Carlo Ratti;science_direct;
85121233629;Air quality monitoring and measurement in an urban airshed: Contextualizing datasets from the Detroit Michigan area from 1952 to 2020;2022-02-25;5.0;Review;False;Brendan F. O'Leary, Alex B. Hill, Katherine G. Akers, Héctor J. Esparra-Escalera, Allison Lucas, Gelareh Raoufi, Yaoxian Huang, Noribeth Mariscal, Sanjay K. Mohanty, Chandra M. Tummala, Timothy M. Dittrich;science_direct;
105014740872;Modeling nitrogen dioxide concentrations using citizen science data: The case of the Brussels-Capital Region;2025-12-01;0.0;Article;True;Patrick Bogaert, Noémie Huvelle, Axel Briffault, Olivier Brasseur;science_direct;
105021120466;City-sense (In): A knowledge governance framework for place-based, informed transition toward healthy urban air;2026-03-01;0.0;Article;True;Farah Makki, Eugenio Morello;scopus;
105020567500;Secure and Efficient Multi-dimensional Task Matching in Spatial Crowdsourcing;2026-01-01;0.0;Conference Paper;False;Yu Yan, Jun Ye;scopus;
105018008852;Evolving trends in application of low-cost air quality sensor networks: challenges and future directions;2025-12-01;0.0;Review;True;Evangelos Bagkis, Amirhossein Hassani, Philipp Schneider, Priyanka DeSouza, Shobitha Shetty, Theodosios Kassandros, Vasileios Salamalikis, Núria Castell, Kostas Karatzas, Ajit Ahlawat, Jibran Khan;scopus;
105014109517;Reassessing air pollution exposure: How daily mobility and activities shape individual risk in greater Paris;2025-12-01;0.0;Article;True;Taos Benoussaïd, Isabelle Coll, Hélène Charreire, Inès Makni, Malo Costes, Arthur Elessa Etuman;scopus;
105006804685;Urban resilience through adaptive multifutures and nature-based solutions;2025-12-01;4.0;Note;True;Sachit Mahajan;scopus;
