identifier;title;cover_date;cited_count;subtype_description;open_access_flag;authors;origin
105027374730;Dispositional regulatory focus in citizen science: Implications for engagement in environmental and public health monitoring;2026-06-01;0;Article;True;Berj Dekramanjian;scopus
105021120466;City-sense (In): A knowledge governance framework for place-based, informed transition toward healthy urban air;2026-03-01;0;Article;True;Farah Makki, Eugenio Morello;scopus
105028011051;Indoor wildfire smoke perceptions “nudge” mitigation behaviors;2026-03-01;0;Article;True;Rachel Hurley, Oren Mangoubi, Shichao Liu;scopus
105024189600;Insights from sensor-based hyperlocal air pollution measurements over Bhubaneswar, India;2026-03-01;0;Article;False;Monalin Mishra, A. Asutosh, Boopathy Ramasamy, Rajasekhar Reddy, Vamsi G, Trupti Das;scopus
105026398918;Exposure measurement error in air-pollution epidemiology and its determinants: results from the MELONS study;2026-02-01;0;Article;True;Dimitris Evangelopoulos, Dylan Wood, Ben Barratt, Hanbin Zhang, Audrey De Nazelle, Sean Beevers, Barbara K. Butland, Evangelia Samoli, Joel Schwartz, Kees De Hoogh, Konstantina Dimakopoulou, Heather Walton, Klea Katsouyanni;scopus
105024757976;Chemistry and sources of atmospheric aerosols deposited in the Central Pyrenees in the period 2016–2023, with a focus on African dust events occurred during cold season;2026-02-01;0;Article;True;Javier Bandrés, Juan Ignacio López-Moreno, Pedro Salvador, Jorge Pey;scopus
105020567500;Secure and Efficient Multi-dimensional Task Matching in Spatial Crowdsourcing;2026-01-01;0;Conference Paper;False;Yu Yan, Jun Ye;scopus
105023952024;Reimagining urban air-quality governance: A systems-thinking framework;2026-01-01;0;Review;True;Harshit Gujral, Om Damani, Anshul Agarwal, Christoph Becker, Meredith Franklin, Teresa Kramarz, Ronak Sutaria, Sagnik Dey, Steve Easterbrook;scopus
105024873773;Using low-cost sensors for source attribution and health assessment: An air quality study in Brownsville, Texas;2026-01-01;0;Article;True;Sai Deepak Pinakana, Kabir Bahadur Shah, Daniel Jaffe, Juan L. Gonzalez, Owen Temby, Gabriel Ibarra-Mejia, Amit U. Raysoni;scopus
105017827962;How Do People Perceive Air Quality in Different Geographic Contexts? A Case Study of Hong Kong, China;2026-01-01;0;Article;False;Wanying Song, Mei Po Kwan;scopus
105023584365;Closing demographic gaps in air quality monitoring: Community-deployed PurpleAir sensors and PM2.5 data in Chicago;2025-12-01;0;Article;False;Mena C.R. Whalen, Alyssa Peer, Leigha DeRango, Nastaran Ghorbani, Lily Kraus, Jessica Post, Ping Jing;scopus
105018008852;Evolving trends in application of low-cost air quality sensor networks: challenges and future directions;2025-12-01;3;Review;True;Evangelos Bagkis, Amirhossein Hassani, Philipp Schneider, Priyanka DeSouza, Shobitha Shetty, Theodosios Kassandros, Vasileios Salamalikis, Núria Castell, Kostas Karatzas, Ajit Ahlawat, Jibran Khan;scopus
105014109517;Reassessing air pollution exposure: How daily mobility and activities shape individual risk in greater Paris;2025-12-01;1;Article;True;Taos Benoussaïd, Isabelle Coll, Hélène Charreire, Inès Makni, Malo Costes, Arthur Elessa Etuman;scopus
105006804685;Urban resilience through adaptive multifutures and nature-based solutions;2025-12-01;5;Note;True;Sachit Mahajan;scopus
105025894219;Statistical and Machine Learning Models for Air Quality: A Systematic Review of Methods and Challenges;2025-12-01;0;Review;True;Luzneyda Ballesteros Peinado, Teresa Guarda, Germán Herrera-Vidal, Claudia Minnaard, Jairo R. Coronado-Hernández;scopus
105022851689;Air quality management from the lens of leveraging social media data and machine learning algorithm for hazard zoning-real-time air pollution detection in urban cities under changing climate;2025-12-01;0;Article;False;Shan e.hyder Soomro, Huaibin Wei, Muhammad Waseem Boota, Nishan E.Hyder Soomro, Gul e.Zehra Soomro, Muhammad Faisal, Caihong Hu, Junaid Abdul Wahid, Jiali Guo;scopus
